id;course_id;is_deleted;created_by;created_date;last_modified_by;last_modified_date;type
1;1;true;Hawaii Account;2023-12-09T18:32:45;transmitting reboot niches;2023-12-09T19:52:11;NONE
2;1;false;Chair Response systems;2023-12-09T11:44:14;Car Timor-Leste;2023-12-09T09:58:12;POINT
3;1;false;Direct applications;2023-12-10T05:33:08;disintermediate;2023-12-09T13:17:54;PERCENTAGE
4;1;true;ADP Cedi;2023-12-09T11:40:54;Internal;2023-12-10T00:22:59;POINT
5;1;false;Licensed seamless;2023-12-10T00:28:52;input Soft;2023-12-10T04:14:38;NONE
6;1;true;Games Group;2023-12-10T03:33:36;Plastic flexibility;2023-12-09T19:28:55;PERCENTAGE
7;1;false;Estate Chips;2023-12-09T10:46:25;networks architecture;2023-12-10T05:13:46;POINT
8;1;true;optical;2023-12-09T15:33:08;generate users;2023-12-09T06:14:06;PERCENTAGE
9;61591;false;Kids Benin;2023-12-09T22:49:47;matrix;2023-12-09T22:33:59;PERCENTAGE
10;16433;true;Stand-alone;2023-12-09T14:15:21;Legacy Avon;2023-12-09T19:13:30;PERCENTAGE
